department_code,team_name,zone_name,demand_mon,demand_tue,demand_wed,demand_thu,demand_fri,demand_sat,demand_sun,demand_holiday
DPT-A,1班,1区,10,10,10,10,10,0,0,0
DPT-A,1班,2区,10,10,10,10,10,0,0,0
DPT-A,1班,3区,10,10,10,10,10,0,0,0
DPT-A,1班,4区,10,9,9,9,9,0,0,0
DPT-A,1班,大口1,10,10,10,10,10,0,0,0
DPT-A,1班,大口1-3,10,8,8,9,9,0,0,0
DPT-A,1班,補助,0,0,0,0,0,10,0,0
DPT-A,1班,速早,0,0,0,0,0,10,10,10
DPT-A,1班,速夜,10,10,10,10,10,10,10,10
DPT-A,1班,組立,1,1,1,1,1,0,0,0
DPT-A,2班,5区,10,10,10,10,10,0,0,0
DPT-A,2班,201,10,10,10,10,10,0,0,0
DPT-A,2班,202,10,10,10,10,10,0,0,0
DPT-A,2班,203,10,10,10,10,10,0,0,0
DPT-A,2班,大口2,10,10,10,10,10,0,0,0
DPT-A,2班,大口2-1,10,10,10,10,10,0,0,0
DPT-A,2班,5-2,10,10,10,10,10,0,0,0
DPT-A,2班,補助,0,0,0,0,0,0,0,0
DPT-A,2班,速早,0,0,0,0,0,10,10,10
DPT-A,2班,速夜,10,10,10,10,10,10,10,10
DPT-A,2班,組立,1,1,1,1,1,0,0,0
DPT-A,3班,6区,10,10,10,10,10,0,0,0
DPT-A,3班,7区,10,10,10,10,10,0,0,0
DPT-A,3班,8区,10,10,10,10,10,0,0,0
DPT-A,3班,9区,10,9,9,9,9,0,0,0
DPT-A,3班,大口3,10,10,10,10,10,0,0,0
DPT-A,3班,大口3-2,10,10,10,10,10,0,0,0
DPT-A,3班,補助,0,0,0,0,0,10,0,0
DPT-A,3班,速早,0,0,0,0,0,10,10,10
DPT-A,3班,速夜,10,10,10,10,10,10,10,10
DPT-A,3班,組立,1,1,1,1,1,0,0,0
DPT-A,4班,10区,10,10,10,10,10,1,0,0
DPT-A,4班,11区,10,10,10,10,10,1,0,0
DPT-A,4班,12区,10,10,10,10,10,1,0,0
DPT-A,4班,13区,10,10,10,10,10,1,0,0
DPT-A,4班,大口4,10,10,10,10,10,1,0,0
DPT-A,4班,大口4-1,1,1,1,1,1,1,0,0
DPT-A,4班,大口4-2,10,10,10,10,10,1,0,0
DPT-A,4班,補助,0,0,0,0,0,1,0,0
DPT-A,4班,速早,0,0,0,0,0,1,10,10
DPT-A,4班,速夜,10,10,10,10,10,1,10,10
DPT-A,4班,組立,1,1,1,1,1,1,0,0
DPT-A,5班,14区,10,10,10,10,10,1,0,0
DPT-A,5班,15区,10,10,10,10,10,1,0,0
DPT-A,5班,16区,10,10,10,10,10,1,0,0
DPT-A,5班,17区,10,10,10,10,10,1,0,0
DPT-A,5班,補助,0,0,0,0,0,1,0,0
DPT-A,5班,速早,0,0,0,0,0,1,10,10
DPT-A,5班,速夜,10,10,10,10,10,1,10,10
DPT-A,5班,組立,1,1,1,1,1,1,0,0
DPT-B,6班,18区,10,10,10,10,10,1,0,0
DPT-B,6班,19区,10,10,10,10,10,1,0,0
DPT-B,6班,20区,10,10,10,10,10,1,0,0
DPT-B,6班,21区,10,10,10,10,10,1,0,0
DPT-B,6班,大口6,10,10,10,10,10,1,0,0
DPT-B,6班,補助,1,1,1,1,1,1,0,0
DPT-B,6班,速早,0,0,0,0,0,1,10,10
DPT-B,6班,速夜,10,10,10,10,10,1,10,10
DPT-B,6班,組立,1,1,1,1,1,1,0,0
DPT-B,7班,22区,10,10,10,10,10,1,0,0
DPT-B,7班,204,10,10,10,10,10,1,0,0
DPT-B,7班,205,10,10,10,10,10,1,0,0
DPT-B,7班,214,10,10,10,10,10,1,0,0
DPT-B,7班,215,10,10,10,10,10,1,0,0
DPT-B,7班,大口7,10,10,10,10,10,1,0,0
DPT-B,7班,補助,0,0,0,0,0,1,0,0
DPT-B,7班,速早,0,0,0,0,0,1,10,10
DPT-B,7班,速夜,10,10,10,10,10,1,10,10
DPT-B,7班,組立,1,1,1,1,1,1,0,0
DPT-B,8班,23区,10,10,10,10,10,1,0,0
DPT-B,8班,206,10,10,10,10,10,1,0,0
DPT-B,8班,207,10,10,10,10,10,1,0,0
DPT-B,8班,208,10,10,10,10,10,1,0,0
DPT-B,8班,207-1,1,1,1,1,1,1,0,0
DPT-B,8班,大口8,1,1,1,1,1,1,0,0
DPT-B,8班,補助,1,1,1,1,1,1,0,0
DPT-B,8班,速早,0,0,0,0,0,1,10,10
DPT-B,8班,速夜,10,10,10,10,10,1,10,10
DPT-B,8班,組立,1,1,1,1,1,1,0,0
DPT-B,9班,24区,10,10,10,10,10,1,0,0
DPT-B,9班,25区,10,10,10,10,10,1,0,0
DPT-B,9班,26区,10,10,10,10,10,1,0,0
DPT-B,9班,27区,10,10,10,10,10,1,0,0
DPT-B,9班,大口9,10,10,10,10,10,1,0,0
DPT-B,9班,補助,0,0,0,0,0,1,0,0
DPT-B,9班,速早,0,0,0,0,0,1,10,10
DPT-B,9班,速夜,10,10,10,10,10,1,10,10
DPT-B,9班,組立,1,1,1,1,1,1,0,0
