employee_code,available_mon,available_tue,available_wed,available_thu,available_fri,available_sat,available_sun,available_hol,available_early,available_day,available_mid,available_night,available_night_sat,available_night_sun,available_night_hol
1,1,1,1,1,1,0,0,0,早1,日1,日3,日5,中1,日3,日3
2,1,1,1,1,1,1,1,1,早1,日1,日3,日5,中1,日3,日3
3,1,1,1,1,1,1,1,1,早1,日1,日3,日5,中1,日3,日3
4,1,1,1,1,1,1,1,1,早1,日1,日3,日5,中1,日3,日3
5,1,1,1,1,1,1,1,1,早1,日1,日3,日5,中1,日3,日3
6,1,1,1,1,1,0,0,0,早2,日5,日15,中6,中8,日15,日15
7,1,1,1,1,1,0,0,0,早2,日5,日15,中6,中8,日15,日15
8,1,0,0,1,1,0,0,0,早2,日5,中6,中11,中8,日15,日15
9,1,1,1,1,1,0,0,0,早2,日5,日15,中6,中8,日15,日15
10,1,1,1,1,1,0,0,0,日13,日13,日13,日13,日13,日13,日13
11,1,1,1,1,1,1,1,1,早1,日1,日3,中1,中1,日3,日3
12,1,1,1,1,1,1,1,1,早1,日1,日3,中1,中1,日3,日3
13,1,1,1,1,1,1,1,1,早1,日1,日3,中1,中1,日3,日3
14,1,1,1,1,1,1,1,1,早1,日1,日3,中1,中1,日3,日3
15,1,1,1,1,1,1,1,1,早1,日1,日3,中1,中1,日3,日3
16,1,1,1,1,1,0,0,0,早1,日1,日3,中1,中1,日3,日3
17,1,1,1,1,1,0,0,0,日7,日7,日7,日7,日7,日7,日7
18,1,1,1,1,1,0,0,0,日7,日7,日7,日7,日7,日7,日7
19,1,1,1,1,1,1,0,0,日12,日12,日12,日12,日12,日12,日12
20,1,1,1,1,1,0,0,0,日11,日11,日11,日11,日11,日11,日11
21,1,1,1,1,1,0,0,0,日11,日11,日11,日11,日11,日11,日11
22,1,1,1,1,1,1,1,1,早1,日1,日3,日5,中1,日3,日3
23,1,1,1,1,1,1,1,1,早1,日1,日3,日5,中1,日3,日3
24,1,1,1,1,1,1,1,1,早1,日1,日3,日5,中1,日3,日3
25,1,1,1,1,1,1,1,1,早1,日1,日3,日5,中1,日3,日3
26,1,1,1,1,1,1,1,1,早1,日1,日3,日5,中1,日3,日3
27,1,1,1,1,1,1,1,0,早2,日5,日15,中6,中8,日15,日15
28,1,1,1,1,1,0,0,0,日13,日13,日13,日13,日13,日13,日13
29,1,1,1,1,1,0,0,0,早2,日5,日15,中6,中8,日15,日15
30,1,1,1,1,1,0,0,0,日11,日11,日11,日11,日11,日11,日11
31,1,1,1,1,1,0,0,0,日11,日11,日11,日11,日11,日11,日11
32,1,1,1,1,1,1,1,0,早1,日1,日3,日5,中1,日3,日3
33,1,1,1,1,1,1,1,1,早1,日1,日3,日5,中1,日3,日3
34,1,1,1,1,1,1,1,1,早1,日1,日3,日5,中1,日3,日3
35,1,1,1,1,1,1,1,1,早1,日1,日3,日5,中1,日3,日3
36,1,1,1,1,1,1,1,1,早1,日1,日3,日5,中1,日3,日3
37,1,1,1,1,1,1,1,1,早1,日1,日3,日5,中1,日3,日3
38,1,1,1,1,1,0,0,0,早1,日1,日3,日5,中1,日3,日3
39,1,1,1,1,1,1,1,1,早2,日5,日15,中6,中8,日15,日15
40,1,1,1,1,1,0,0,0,日11,日11,日11,日11,日11,日11,日11
41,1,1,1,1,1,0,0,0,日11,日11,日11,日11,日11,日11,日11
42,1,1,1,1,1,1,1,1,早1,日1,日2,日3,夜1,日3,日3
43,1,1,1,1,1,1,1,1,早1,日1,日2,日3,夜1,日3,日3
44,1,1,1,1,1,1,1,1,早1,日1,日2,日3,夜1,日3,日3
45,1,1,1,1,1,1,1,1,早1,日1,日2,日3,夜1,日3,日3
46,1,1,1,1,1,1,1,1,早1,日1,日2,日3,夜1,日3,日3
47,1,1,1,1,1,1,1,1,早2,日5,日8,日15,夜1,日15,日15
48,1,1,1,1,1,0,0,0,早2,日5,日8,日15,夜1,日15,日15
49,1,1,1,1,1,0,0,0,日11,日11,日11,日11,日11,日11,日11
50,1,1,1,1,1,0,0,0,日11,日11,日11,日11,日11,日11,日11
51,1,1,1,1,1,1,1,1,早1,日1,日3,日5,夜1,日3,日3
52,1,1,1,1,1,1,1,1,早1,日1,日3,日5,夜1,日3,日3
53,1,1,1,1,1,0,0,0,早1,日1,日3,日5,夜1,日3,日3
54,1,1,1,1,1,1,1,1,早1,日1,日3,日5,夜1,日3,日3
55,1,1,1,1,1,1,1,1,早1,日1,日3,日5,夜1,日3,日3
56,1,1,1,1,1,0,0,0,早1,日1,日3,日5,夜1,日3,日3
57,1,1,1,1,1,1,1,1,早1,日1,日3,日5,夜1,日3,日3
58,1,1,1,1,1,1,1,0,早2,日5,日15,中6,夜1,日15,日15
59,1,1,1,1,1,0,0,0,早2,日5,日15,中6,夜1,日15,日15
60,1,1,1,1,1,0,0,0,早2,日5,日15,中6,夜1,日15,日15
61,1,1,1,1,1,0,0,0,日11,日11,日11,日11,日11,日11,日11
62,1,1,1,1,1,1,1,1,早1,日1,日3,日3,日3,日3,日3
63,1,1,1,1,1,1,1,1,早1,日1,日3,日3,日3,日3,日3
64,1,1,1,1,1,1,1,1,早1,日1,日3,日3,日3,日3,日3
65,1,1,1,1,1,1,1,1,早1,日1,日3,日3,日3,日3,日3
66,1,1,1,1,1,0,0,0,早1,日4,日15,日14,日14,日14,日14
67,1,1,1,1,1,0,0,0,早2,日5,日15,日15,日15,日15,日15
68,1,1,1,1,1,1,1,1,早2,日5,日15,日15,日15,日15,日15
69,1,1,1,1,1,0,0,0,早2,日5,日15,日15,日15,日15,日15
70,1,1,1,1,1,0,0,0,日11,日11,日11,日11,日11,日11,日11
71,1,1,1,1,1,1,1,1,早1,日1,日3,日3,日3,日3,日3
72,1,1,1,1,1,1,1,1,早1,日1,日3,日3,日3,日3,日3
73,1,1,1,1,1,1,1,1,早1,日1,日3,日3,日3,日3,日3
74,1,1,1,1,1,1,1,1,早1,日1,日3,日3,日3,日3,日3
75,1,1,1,1,1,1,1,1,早1,日1,日3,日3,日3,日3,日3
76,1,1,1,1,1,1,1,1,早1,日1,日3,日3,日3,日3,日3
77,1,1,1,1,1,0,0,0,半日2,半日2,半日2,半日2,半日2,半日2,半日2
78,1,1,1,1,1,0,0,0,半日3,半日3,半日3,半日3,半日3,半日3,半日3
79,1,1,1,1,1,0,0,0,日11,日11,日11,日11,日11,日11,日11
80,1,1,1,1,1,1,1,1,早1,日1,日3,日3,日3,日3,日3
81,1,1,1,1,1,1,1,1,早1,日1,日3,日3,日3,日3,日3
82,1,1,1,1,1,1,1,1,早1,日1,日3,日3,日3,日3,日3
