date,通常物数
2021/10/1,63000
2021/10/2,0
2021/10/3,0
2021/10/4,102000
2021/10/5,45000
2021/10/6,55000
2021/10/7,58000
2021/10/8,71000
2021/10/9,0
2021/10/10,0
2021/10/11,96000
2021/10/12,51000
2021/10/13,49000
2021/10/14,63000
2021/10/15,66000
2021/10/16,0
2021/10/17,0
2021/10/18,94000
2021/10/19,39000
2021/10/20,39000
2021/10/21,55000
2021/10/22,61000
2021/10/23,0
2021/10/24,0
2021/10/25,89000
2021/10/26,33000
2021/10/27,42000
2021/10/28,58000
2021/10/29,59000
2021/10/30,0
2021/10/31,0
2021/11/1,97000
2021/11/2,48000
2021/11/3,0
2021/11/4,92000
2021/11/5,60000
2021/11/6,0
2021/11/7,0
2021/11/8,99000
2021/11/9,50000
2021/11/10,46000
2021/11/11,65000
2021/11/12,71000
2021/11/13,0
2021/11/14,0
2021/11/15,105000
2021/11/16,29000
2021/11/17,41000
2021/11/18,52000
2021/11/19,58000
2021/11/20,0
2021/11/21,0
2021/11/22,97000
2021/11/23,0
2021/11/24,112000
2021/11/25,42000
2021/11/26,66000
2021/11/27,0
2021/11/28,0
2021/11/29,99000
2021/11/30,34000
2021/12/1,48000
2021/12/2,70000
2021/12/3,68000
2021/12/4,0
2021/12/5,0
2021/12/6,95000
2021/12/7,44000
2021/12/8,52000
2021/12/9,62000
2021/12/10,66000
2021/12/11,0
2021/12/12,0
2021/12/13,105000
2021/12/14,43000
2021/12/15,51000
2021/12/16,60000
2021/12/17,58000
2021/12/18,0
2021/12/19,0
2021/12/20,88000
2021/12/21,39000
2021/12/22,41000
2021/12/23,47000
2021/12/24,59000
2021/12/25,0
2021/12/26,0
2021/12/27,87000
2021/12/28,39000
2021/12/29,37000
2021/12/30,33000
2021/12/31,30000
2022/1/1,22000
2022/1/2,0
2022/1/3,8000
2022/1/4,11000
2022/1/5,25000
2022/1/6,33000
2022/1/7,31000
2022/1/8,0
2022/1/9,0
2022/1/10,0
2022/1/11,85000
2022/1/12,39000
2022/1/13,54000
2022/1/14,58000
2022/1/15,0
2022/1/16,0
2022/1/17,85000
2022/1/18,32000
2022/1/19,45000
2022/1/20,52000
2022/1/21,56000
2022/1/22,0
2022/1/23,0
2022/1/24,96000
2022/1/25,40000
2022/1/26,51000
2022/1/27,57000
2022/1/28,68000
2022/1/29,0
2022/1/30,0
2022/1/31,91000
2022/2/1,36000
2022/2/2,39000
2022/2/3,44000
2022/2/4,58000
2022/2/5,0
2022/2/6,0
2022/2/7,80000
2022/2/8,41000
2022/2/9,45000
2022/2/10,52000
2022/2/11,0
2022/2/12,0
2022/2/13,0
2022/2/14,142000
2022/2/15,29000
2022/2/16,39000
2022/2/17,48000
2022/2/18,50000
2022/2/19,0
2022/2/20,0
2022/2/21,92000
2022/2/22,40000
2022/2/23,46000
2022/2/24,43000
2022/2/25,51000
2022/2/26,0
2022/2/27,0
2022/2/28,93000
2022/3/1,45000
2022/3/2,42000
2022/3/3,48000
2022/3/4,49000
2022/3/5,0
2022/3/6,0
2022/3/7,88000
2022/3/8,39000
2022/3/9,45000
2022/3/10,45000
2022/3/11,47000
2022/3/12,0
2022/3/13,0
2022/3/14,85000
2022/3/15,40000
2022/3/16,42000
2022/3/17,52000
2022/3/18,50000
2022/3/19,0
2022/3/20,0
2022/3/21,0
2022/3/22,135000
2022/3/23,25000
2022/3/24,56000
2022/3/25,50000
2022/3/26,0
2022/3/27,0
2022/3/28,94000
2022/3/29,41000
2022/3/30,46000
2022/3/31,55000
2022/4/1,53000
2022/4/2,0
2022/4/3,0
2022/4/4,87000
2022/4/5,56000
2022/4/6,64000
2022/4/7,68000
2022/4/8,65000
2022/4/9,0
2022/4/10,0
2022/4/11,90000
2022/4/12,45000
2022/4/13,52000
2022/4/14,46000
2022/4/15,53000
2022/4/16,0
2022/4/17,0
2022/4/18,89000
2022/4/19,39000
2022/4/20,52000
2022/4/21,52000
2022/4/22,48000
2022/4/23,0
2022/4/24,0
2022/4/25,78000
2022/4/26,42000
2022/4/27,43000
2022/4/28,55000
2022/4/29,0
2022/4/30,0
2022/5/1,0
2022/5/2,66000
2022/5/3,0
2022/5/4,0
2022/5/5,0
2022/5/6,119000
2022/5/7,0
2022/5/8,0
2022/5/9,95000
2022/5/10,40000
2022/5/11,41000
2022/5/12,40000
2022/5/13,46000
2022/5/14,0
2022/5/15,0
2022/5/16,79000
2022/5/17,50000
2022/5/18,58000
2022/5/19,60000
2022/5/20,66000
2022/5/21,0
2022/5/22,0
2022/5/23,90000
2022/5/24,40000
2022/5/25,42000
2022/5/26,46000
2022/5/27,50000
2022/5/28,0
2022/5/29,0
2022/5/30,81000
2022/5/31,32000
2022/6/1,38000
2022/6/2,45000
2022/6/3,45000
2022/6/4,0
2022/6/5,0
2022/6/6,85000
2022/6/7,40000
2022/6/8,57000
2022/6/9,52000
2022/6/10,55000
2022/6/11,0
2022/6/12,0
2022/6/13,86000
2022/6/14,49000
2022/6/15,55000
2022/6/16,60000
2022/6/17,61000
2022/6/18,0
2022/6/19,0
2022/6/20,90000
2022/6/21,32000
2022/6/22,33000
2022/6/23,39000
2022/6/24,45000
2022/6/25,0
2022/6/26,0
2022/6/27,88000
2022/6/28,32000
2022/6/29,40000
2022/6/30,44000
2022/7/1,39000
2022/7/2,0
2022/7/3,0
2022/7/4,78000
2022/7/5,35000
2022/7/6,39000
2022/7/7,42000
2022/7/8,46000
2022/7/9,0
2022/7/10,0
2022/7/11,85000
2022/7/12,33000
2022/7/13,40000
2022/7/14,42000
2022/7/15,45000
2022/7/16,0
2022/7/17,0
2022/7/18,0
2022/7/19,120000
2022/7/20,29000
2022/7/21,46000
2022/7/22,55000
2022/7/23,0
2022/7/24,0
2022/7/25,87000
2022/7/26,40000
2022/7/27,46000
2022/7/28,42000
2022/7/29,51000
2022/7/30,0
2022/7/31,0
2022/8/1,92000
2022/8/2,35000
2022/8/3,39000
2022/8/4,44000
2022/8/5,49000
2022/8/6,0
2022/8/7,0
2022/8/8,79000
2022/8/9,36000
2022/8/10,42000
2022/8/11,0
2022/8/12,85000
2022/8/13,0
2022/8/14,0
2022/8/15,45000
2022/8/16,25000
2022/8/17,34000
2022/8/18,50000
2022/8/19,52000
2022/8/20,0
2022/8/21,0
2022/8/22,86000
2022/8/23,34000
2022/8/24,41000
2022/8/25,45000
2022/8/26,48000
2022/8/27,0
2022/8/28,0
2022/8/29,85000
2022/8/30,39000
2022/8/31,36000
2022/9/1,42000
2022/9/2,48000
2022/9/3,0
2022/9/4,0
2022/9/5,91000
2022/9/6,42000
2022/9/7,39000
2022/9/8,45000
2022/9/9,44000
2022/9/10,0
2022/9/11,0
2022/9/12,85000
2022/9/13,45000
2022/9/14,45000
2022/9/15,49000
2022/9/16,48000
2022/9/17,0
2022/9/18,0
2022/9/19,0
2022/9/20,110000
2022/9/21,30000
2022/9/22,56000
2022/9/23,0
2022/9/24,0
2022/9/25,0
2022/9/26,145000
2022/9/27,25000
2022/9/28,49000
2022/9/29,49000
2022/9/30,51000
2022/10/1,0
2022/10/2,0
2022/10/3,91000
2022/10/4,51000
2022/10/5,48000
2022/10/6,46000
2022/10/7,50000
2022/10/8,0
2022/10/9,0
2022/10/10,0
2022/10/11,126000
2022/10/12,32000
2022/10/13,45000
2022/10/14,44000
2022/10/15,0
2022/10/16,0
2022/10/17,87000
2022/10/18,38000
2022/10/19,42000
2022/10/20,55000
2022/10/21,54000
2022/10/22,0
2022/10/23,0
2022/10/24,88000
2022/10/25,38000
2022/10/26,45000
2022/10/27,49000
2022/10/28,52000
2022/10/29,0
2022/10/30,0
2022/10/31,85000
2022/11/1,46000
2022/11/2,42000
2022/11/3,0
2022/11/4,105000
2022/11/5,0
2022/11/6,0
2022/11/7,91000
2022/11/8,46000
2022/11/9,50000
2022/11/10,51000
2022/11/11,55000
2022/11/12,0
2022/11/13,0
2022/11/14,84000
2022/11/15,39000
2022/11/16,44000
2022/11/17,48000
2022/11/18,62000
2022/11/19,0
2022/11/20,0
2022/11/21,93000
2022/11/22,50000
2022/11/23,0
2022/11/24,104000
2022/11/25,32000
2022/11/26,0
2022/11/27,0
2022/11/28,87000
2022/11/29,41000
2022/11/30,60000
2022/12/1,52000
2022/12/2,50000
2022/12/3,0
2022/12/4,0
2022/12/5,89000
2022/12/6,46000
2022/12/7,44000
2022/12/8,51000
2022/12/9,52000
2022/12/10,0
2022/12/11,0
2022/12/12,90000
2022/12/13,46000
2022/12/14,43000
2022/12/15,48000
