区コード,区名,班,稼働,月,火,水,木,金,土,日,祝,シフトタイプ
Z1,1区,1班,通配,10,10,10,10,10,0,0,0,早番
Z2,2区,1班,通配,10,10,10,10,10,0,0,0,早番
Z3,3区,1班,通配,10,10,10,10,10,0,0,0,日勤
Z4,4区,1班,通配,10,9,9,9,9,0,0,0,日勤
Z5,大口1,1班,混合,10,10,10,10,10,0,0,0,早番
Z6,大口1-3,1班,混合,10,8,8,9,9,0,0,0,早番
Z7,補助,1班,混合,1,1,1,1,1,10,0,1,日勤
Z8,速早,1班,混合,0,0,0,0,0,10,10,10,早番
Z9,速夜,1班,混合,10,10,10,10,10,0,0,0,夜勤
Z10,速夜(土),1班,混合,0,0,0,0,0,10,0,0,夜勤(土)
Z11,速夜(日),1班,混合,0,0,0,0,0,0,10,0,夜勤(日)
Z12,速夜(祝),1班,混合,0,0,0,0,0,0,0,10,夜勤(祝)
Z13,組立,1班,組立,1,1,1,1,1,0,0,0,日勤
Z14,通区訓練,1班,指定業務,0,0,0,0,0,0,0,0,日勤
Z15,出張,1班,指定業務,0,0,0,0,0,0,0,0,日勤
Z16,営業,1班,指定業務,0,0,0,0,0,0,0,0,日勤
